"","APREC","Number of Crimes"
"1","77TH STREET",197
"2","CENTRAL",147
"3","DEVONSHIRE",86
"4","FOOTHILL",98
"5","HARBOR",77
"6","HOLLENBECK",91
"7","HOLLYWOOD",99
"8","MISSION",103
"9","NORTH HOLLYWOOD",108
"10","NEWTON",119
"11","NORTHEAST",84
"12","OLYMPIC",127
"13","PACIFIC",87
"14","RAMPART",130
"15","SOUTHEAST",219
"16","SOUTHWEST",162
"17","TOPANGA",89
"18","VAN NUYS",87
"19","WEST LOS ANGELES",65
"20","WEST VALLEY",80
"21","WILSHIRE",85
